Wavelength (nm),absorption coefficient,relative refractive index
579.0,0.00087032227704,1.33422229711
580.0,0.000896,1.3341665987
581.0,0.000929523764706,1.33411110919
582.0,0.000968707764706,1.33405582836
583.0,0.00100980796333,1.33400073832
584.0,0.00105403701146,1.33394582121
585.0,0.0011,1.33389105947
586.0,0.00114682189269,1.33383645272
587.0,0.0011951772422,1.33378201139
588.0,0.0012449836339,1.33372774314
589.0,0.00129588204975,1.33367365564
590.0,0.001351,1.33361975654
591.0,0.00141471492296,1.3335660645
592.0,0.00148298566305,1.33351258653
593.0,0.00154657592871,1.33345928802
594.0,0.00160469223993,1.33340613338
595.0,0.001672,1.33335308705
596.0,0.00176253564792,1.33330011837
597.0,0.00186978125509,1.33324727564
598.0,0.00198254113272,1.33319456991
599.0,0.00210619509725,1.33314198714
600.0,0.002224,1.3330895114
601.0,0.00233514412088,1.33303708302
602.0,0.00243396449145,1.33298471695
603.0,0.00249797744501,1.33293246497
604.0,0.00254357459319,1.33288037885
605.0,0.002577,1.33282851037
606.0,0.0026031469648,1.33277684972
607.0,0.00262285129898,1.33272531861
608.0,0.00263298029851,1.33267405637
609.0,0.00263843522388,1.33262321517
610.0,0.002644,1.33257296426
611.0,0.00265237035294,1.33252339998
612.0,0.00266132047059,1.33247428643
613.0,0.00266783305322,1.33242535301
614.0,0.0026723805042,1.33237632912
615.0,0.002678,1.33232694414
616.0,0.00268732218182,1.33227692879
617.0,0.00269993052814,1.33222641826
618.0,0.0027149795597,1.33217588347
619.0,0.00273419321347,1.33212580026
620.0,0.002755,1.33207654149
621.0,0.00277853364631,1.33202788503
622.0,0.00280164292,1.33197963423
623.0,0.00281562963857,1.33193162101
624.0,0.00282361286722,1.33188367731
625.0,0.002834,1.33183563507
626.0,0.00286182040477,1.33178740186
627.0,0.00289524139076,1.33173912064
628.0,0.00290720371375,1.33169091309
629.0,0.00291074256553,1.33164289812
630.0,0.002916,1.33159515166
631.0,0.00294412226374,1.33154751455
632.0,0.00298386939194,1.33150001057
633.0,0.00299948689431,1.33145270418
634.0,0.00300482102439,1.33140565985
635.0,0.003012,1.33135894204
636.0,0.00303473097561,1.33131260764
637.0,0.00306572910569,1.33126664387
638.0,0.00308404343124,1.33122100063
639.0,0.00309412544056,1.33117562749
640.0,0.003108,1.33113048082
641.0,0.00314987346085,1.33108561297
642.0,0.00320384843731,1.331040996
643.0,0.00322770054171,1.33099656364
644.0,0.00323733694475,1.33095224965
645.0,0.00325,1.33090798778
646.0,0.00328544615385,1.33086371085
647.0,0.00333254358974,1.33081939292
648.0,0.00336122898551,1.33077514139
649.0,0.00337753043478,1.33073108455
650.0,0.0034,1.33068735068
651.0,0.00346013666199,1.33064394732
652.0,0.00354446047686,1.33060077973
653.0,0.00360761415668,1.33055789658
654.0,0.00365519918894,1.33051534787
655.0,0.00371,1.33047317988
656.0,0.00379256140659,1.33043137295
657.0,0.0038877999707,1.33038986855
658.0,0.0039673161952,1.33034861021
659.0,0.00403646133995,1.33030754148
660.0,0.0041,1.33026660591
661.0,0.00416431728353,1.33022575524
662.0,0.00422092196944,1.33018507171
663.0,0.00425166015038,1.3301445734
664.0,0.00426610225564,1.33010423638
665.0,0.00429,1.3300640367
666.0,0.00434478571429,1.33002394973
667.0,0.004672,1.32998397692
668.0,0.004665,1.32994415022
669.0,0.004734,1.32990450258
670.0,0.00439,1.32986506638
671.0,0.004757,1.32982581246
672.0,0.004768,1.32978673116
673.0,0.00478,1.32974785553
674.0,0.00481,1.32970921861
675.0,0.00448,1.32967084698
676.0,0.004908,1.32963271172
